City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
342,Svirstroy,60.7999,33.7248,46.92,97,80,4.18,RU,2022-09-16 18:20:44,broken clouds
343,Sheffield,53.383,-1.4659,57.15,55,74,1.99,GB,2022-09-16 18:19:10,broken clouds
344,Salinopolis,-0.6136,-47.3561,83.75,65,33,14.12,BR,2022-09-16 18:20:45,scattered clouds
345,Sawakin,19.1059,37.3321,88.56,56,9,7.34,SD,2022-09-16 18:20:45,clear sky
346,Richards Bay,-28.783,32.0377,73.99,60,0,13.71,ZA,2022-09-16 18:19:47,clear sky
347,Cap Malheureux,-19.9842,57.6142,71.47,71,5,8.01,MU,2022-09-16 18:20:46,clear sky
348,Hrob,50.6592,13.7268,52.29,87,65,10.0,CZ,2022-09-16 18:20:46,broken clouds
349,Phalaborwa,-23.943,31.1411,79.0,21,0,6.33,ZA,2022-09-16 18:20:47,clear sky
350,Vesoul,47.5833,5.8333,57.07,62,94,6.87,FR,2022-09-16 18:20:47,overcast clouds
351,Pokhara,28.2333,83.9833,70.72,84,100,1.61,NP,2022-09-16 18:20:48,overcast clouds
352,Tiznit,29.5833,-9.5,67.39,80,23,10.54,MA,2022-09-16 18:20:48,few clouds
353,Urucara,-2.5364,-57.76,102.16,24,43,6.38,BR,2022-09-16 18:20:49,scattered clouds
354,Honningsvag,70.9821,25.9704,46.15,87,100,19.57,NO,2022-09-16 18:20:49,light rain
355,Hobyo,5.3505,48.5268,76.95,86,66,23.8,SO,2022-09-16 18:20:50,broken clouds
356,Riyadh,24.6877,46.7219,91.54,15,4,10.02,SA,2022-09-16 18:16:41,clear sky
357,Bardiyah,31.7561,25.0865,75.67,47,0,7.4,LY,2022-09-16 18:20:51,clear sky
358,Saint-Leu,-21.15,55.2833,68.86,74,63,6.55,RE,2022-09-16 18:20:51,broken clouds
359,Dubai,25.2582,55.3047,95.25,49,0,8.05,AE,2022-09-16 18:20:51,clear sky
360,Ghanzi,-21.5667,21.7833,68.94,13,0,9.04,BW,2022-09-16 18:20:53,clear sky
361,Puerto Del Rosario,28.5004,-13.8627,78.55,61,40,21.85,ES,2022-09-16 18:20:53,scattered clouds
362,Sikasso,10.9167,-7.0,80.08,82,64,2.55,ML,2022-09-16 18:20:53,light rain
363,Monrovia,6.3005,-10.7969,78.57,86,95,11.27,LR,2022-09-16 18:20:54,light rain
364,Aksu,41.1231,80.2644,71.15,26,2,4.65,CN,2022-09-16 18:17:29,clear sky
365,Killybegs,54.6333,-8.45,55.11,66,20,11.88,IE,2022-09-16 18:20:54,few clouds
366,Shu,43.5983,73.7614,61.38,23,72,2.89,KZ,2022-09-16 18:20:54,broken clouds
367,Ofaqim,31.3141,34.6203,73.71,60,0,10.11,IL,2022-09-16 18:20:55,clear sky
368,Muscat,23.6139,58.5922,93.22,46,40,4.97,OM,2022-09-16 18:17:09,scattered clouds
369,Camana,-16.6228,-72.7111,64.62,69,3,8.16,PE,2022-09-16 18:20:55,clear sky
370,Bandundu,-3.3167,17.3667,84.63,52,75,1.14,CD,2022-09-16 18:20:56,light rain
371,Ayni,39.3941,68.5377,64.04,38,86,1.74,TJ,2022-09-16 18:20:57,overcast clouds
372,Meulaboh,4.1363,96.1285,76.06,88,87,2.53,ID,2022-09-16 18:17:14,overcast clouds
373,Abnub,27.2696,31.1511,83.75,28,0,7.47,EG,2022-09-16 18:20:57,clear sky
374,Tupi Paulista,-21.3811,-51.5706,85.42,28,59,9.28,BR,2022-09-16 18:20:58,broken clouds
375,Taoudenni,22.6783,-3.9836,105.6,9,0,10.85,ML,2022-09-16 18:20:58,clear sky
376,Aswan,24.0934,32.907,88.97,16,7,12.64,EG,2022-09-16 18:20:59,clear sky
377,Izhma,65.0083,53.9113,51.93,77,98,6.91,RU,2022-09-16 18:20:59,overcast clouds
378,Pimentel,-6.8367,-79.9342,70.09,64,0,11.5,PE,2022-09-16 18:21:00,clear sky
379,Bauchi,10.5,10.0,73.98,88,100,5.82,NG,2022-09-16 18:21:00,light rain
380,Aktas,49.7789,72.9608,29.95,44,100,12.8,KZ,2022-09-16 18:21:01,overcast clouds
381,Muros,42.7762,-9.0603,77.16,69,21,10.76,ES,2022-09-16 18:21:01,few clouds
382,Beboto,8.2668,16.939,72.82,93,82,1.16,TD,2022-09-16 18:21:01,moderate rain
383,Tutoia,-2.7619,-42.2744,82.78,70,26,15.14,BR,2022-09-16 18:21:01,scattered clouds
384,Adre,13.4667,22.2,74.01,77,100,7.99,TD,2022-09-16 18:21:02,light rain
385,Tucuma,-0.1833,-50.05,89.98,54,61,8.48,BR,2022-09-16 18:21:02,broken clouds
386,Alta,69.9689,23.2717,49.26,81,75,16.11,NO,2022-09-16 18:21:02,broken clouds
387,Marystown,47.1666,-55.1483,60.78,76,71,27.65,CA,2022-09-16 18:21:03,broken clouds
388,Tenenkou,14.4572,-4.9169,88.45,49,70,10.92,ML,2022-09-16 18:21:03,light rain
389,Sinnamary,5.3833,-52.95,86.36,67,41,12.3,GF,2022-09-16 18:21:03,scattered clouds
390,Le Locle,47.0595,6.7523,53.29,81,40,4.61,CH,2022-09-16 18:21:04,scattered clouds
391,Husavik,66.0449,-17.3389,47.32,73,92,2.46,IS,2022-09-16 18:21:04,overcast clouds
392,Usinsk,65.9939,57.5281,53.19,74,100,12.71,RU,2022-09-16 18:21:04,overcast clouds
393,Odesskoye,54.2111,72.9651,49.68,51,5,7.85,RU,2022-09-16 18:21:05,clear sky
394,Senj,44.9894,14.9058,69.15,93,95,9.35,HR,2022-09-16 18:21:05,overcast clouds
395,Puerto Colombia,10.9878,-74.9547,89.69,68,88,2.98,CO,2022-09-16 18:21:06,overcast clouds
396,Axim,4.8699,-2.2405,76.66,84,94,7.76,GH,2022-09-16 18:21:06,overcast clouds
397,Verdun,49.25,5.3333,52.16,85,95,9.89,FR,2022-09-16 18:16:18,overcast clouds
398,Itarema,-2.9248,-39.9167,84.65,63,33,18.86,BR,2022-09-16 18:21:07,scattered clouds
