City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Buchanan,LR,75.88,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
337,Tete,MZ,82.08,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
340,Shahreza,IR,72.55,clear sky,32.0339,51.8794,خوابگاه
344,Salinopolis,BR,83.75,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
346,Richards Bay,ZA,73.99,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
347,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
349,Phalaborwa,ZA,79.0,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
351,Pokhara,NP,70.72,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
355,Hobyo,SO,76.95,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
357,Bardiyah,LY,75.67,clear sky,31.7561,25.0865,بورتو بردية
361,Puerto Del Rosario,ES,78.55,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
363,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
364,Aksu,CN,71.15,clear sky,41.1231,80.2644,Pudong Holiday Hotel
367,Ofaqim,IL,73.71,clear sky,31.3141,34.6203,The Negev Experience
370,Bandundu,CD,84.63,light rain,-3.3167,17.3667,Coja Color
372,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
373,Abnub,EG,83.75,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
378,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
381,Muros,ES,77.16,few clouds,42.7762,-9.0603,Apartment Av. Castelao
383,Tutoia,BR,82.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
396,Axim,GH,76.66,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
398,Itarema,BR,84.65,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Biltine,TD,78.75,moderate rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
401,Garoua,CM,74.53,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
404,Sumbe,AO,72.41,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
405,Viedma,AR,77.07,overcast clouds,-40.8135,-62.9967,Hotel Cristal
407,Harper,LR,77.22,overcast clouds,4.375,-7.7169,Screensaver
409,Mbanza-Ngungu,CD,77.18,broken clouds,-5.25,14.8667,Hotel Full Business
412,Frontino,CO,76.1,overcast clouds,6.7801,-76.1288,Hotel La Casona
413,Gualeguaychu,AR,73.94,broken clouds,-33.0094,-58.5172,Hotel Los Angeles
417,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
421,Srivardhan,IN,77.88,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
425,Tbilisskaya,RU,72.36,overcast clouds,45.3633,40.19,гостиница Шоколад
428,Filadelfia,US,79.11,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
430,Tahta,EG,84.88,clear sky,26.7693,31.5021,فندق الزيات
437,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
443,Batticaloa,LK,80.82,broken clouds,7.7102,81.6924,Grand Star Guest House
444,Lixourion,GR,77.0,few clouds,38.2019,20.4314,Hotel Summery
445,Mogadishu,SO,76.46,light rain,2.0371,45.3438,Hotel Juba
446,Sabalgarh,IN,75.38,broken clouds,26.25,77.4,Kailadevi studio
452,Luena,AO,71.19,scattered clouds,-11.7833,19.9167,Hotel Kandamba
455,Union,US,78.67,smoke,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
459,Cururupu,BR,84.74,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
461,Hambantota,LK,78.57,scattered clouds,6.1241,81.1185,Bungalow 63
468,Porto Recanati,IT,77.31,broken clouds,43.4365,13.6613,Hotel Il Brigantino
471,Benghazi,LY,79.57,clear sky,32.1167,20.0667,Tibesti Hotel
472,Beni Suef,EG,82.04,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
474,Mitsamiouli,KM,73.69,few clouds,-11.3847,43.2844,Foyer ADM
478,Naifaru,MV,81.18,clear sky,5.4444,73.3657,Naifaru Residence Guest House
480,Bet Shemesh,IL,77.65,clear sky,31.7496,34.9888,Bethlehem Suites Dreams
481,Otukpo,NG,73.99,light rain,7.1913,8.1329,Queen s Hotel
484,Haverhill,US,72.99,clear sky,42.7762,-71.0773,Best Western Merrimack Valley
485,San Bartolome De Tirajana,ES,70.27,few clouds,27.9248,-15.5733,Las Tirajanas
494,Mizdah,LY,84.22,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
498,Libreville,GA,76.5,overcast clouds,0.3925,9.4537,Hotel Kreg Le Patio
501,Lafiagi,NG,78.01,overcast clouds,8.8667,5.4167,Bus group international
502,Goderich,CA,71.92,overcast clouds,43.7501,-81.7165,Harmony Inn
503,Boyabat,TR,74.77,scattered clouds,41.4689,34.7667,Kolaz Palas Otel
505,Levokumskoye,RU,73.31,broken clouds,44.8219,44.6606,SPA-Otel «Елена»
507,Vallenar,CL,72.45,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
511,Mumford,GH,76.37,scattered clouds,5.2618,-0.759,Spanish Villa
513,Muli,MV,81.18,clear sky,2.9167,73.5667,Medhufushi Island Resort
516,Soyo,AO,74.07,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
517,Comrat,MD,71.78,overcast clouds,46.3003,28.6572,Caral
522,Gemena,CD,75.31,light rain,3.25,19.7667,Hôtel Goshen
524,Nurota,UZ,70.59,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
525,Ajdabiya,LY,78.51,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
528,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
532,Korla,CN,71.08,scattered clouds,41.7597,86.1469,Gulisitan Hotel
534,Terenos,BR,82.11,scattered clouds,-20.4422,-54.8603,Rancho Pitzer
538,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
543,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
545,Nardaran,AZ,73.04,few clouds,40.5561,50.0056,Bizim Baki Baglari
547,Montepuez,MZ,72.07,scattered clouds,-13.1256,38.9997,PembaAparthotel
548,Kollam,IN,77.79,scattered clouds,8.8833,76.6,The Raviz Ashtamudi
553,Xanlar,AZ,71.11,few clouds,40.5869,46.3158,Goy Gol Lake Resort
558,Piacabucu,BR,79.14,broken clouds,-10.4056,-36.4344,Piaçabuçu News
559,Zhanaozen,KZ,71.24,overcast clouds,43.3,52.8,K.korabay 28A
562,Dhidhdhoo,MV,81.28,scattered clouds,6.8833,73.1,Dhidhoo beach
572,Chitral,PK,71.49,few clouds,35.8462,71.7858,PTDC Motel Chitral
575,Bonanza,NI,80.8,overcast clouds,14.0289,-84.591,Edificio Administrativo HEMCO
578,Diebougou,BF,75.07,overcast clouds,10.9667,-3.25,Hotel Le Consulat
582,Grand-Bourg,GP,82.6,overcast clouds,15.8835,-61.3148,Coco Beach Resort
583,Corinto,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
586,Mwinilunga,ZM,73.94,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
587,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
590,Marsa Matruh,EG,75.61,clear sky,31.3525,27.2453,Beau Site
591,Eluru,IN,82.49,overcast clouds,16.7,81.1,Sri Krishna Residency - VTR Square Eluru
593,Barcelos,PT,75.92,clear sky,41.5388,-8.6151,Hotel Do Terço
594,Badarwas,IN,75.04,broken clouds,24.9667,77.5667,योगराज मोटर्स
595,Deskati,GR,72.36,few clouds,39.9225,21.8028,MONDEUS INN GUESTHOUSE
596,Kintampo,GH,72.54,light rain,8.0563,-1.7306,Adomaa Memorial Hotel
599,Jam Sahib,PK,83.05,clear sky,26.2958,68.6292,Al Madina
601,Bom Jardim,BR,82.11,few clouds,-7.7958,-35.5872,Wilton Joaquim 8 Wilton
604,Butterworth,MY,79.0,few clouds,5.3991,100.3638,Cititel Penang
605,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
607,Boueni,YT,71.58,clear sky,-12.9025,45.0761,The feet in water
613,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
616,Zernograd,RU,74.3,overcast clouds,46.8452,40.3083,Gostinitsa Lyuks
617,Moroni,KM,73.4,few clouds,-11.7022,43.2551,Hotel Les Arcades
619,Kayankulam,IN,78.96,few clouds,9.1833,76.5,Hotel Indraprastha
620,Ambovombe,MG,70.25,clear sky,-25.1667,46.0833,RELAHARA
623,Uvira,CD,78.62,scattered clouds,-3.4067,29.1458,Hotel Suzana
627,Khomeyn,IR,70.09,clear sky,33.6423,50.0789,فروشگاه رنگ و ابزار عصاری
630,Kankon,IN,78.6,overcast clouds,15.0167,74.0167,Palolem Beach Resort
634,El Vendrell,ES,80.17,scattered clouds,41.2167,1.5333,Le Méridien Ra Beach Hotel & Spa
642,Koroni,GR,80.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
643,Kazerun,IR,79.59,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
